date,keyword,url,current_rank,previous_rank,rank_diff,rank_change_rate,current_distance,previous_distance,distance_diff,distance_change_rate,weeks_elapsed
2025-11-02,鹿児島 管理栄養士 求人,https://jp.stanby.com/r_e1744c195adac2e7c67d348b6e7f39a4,7.0,7.0,0.0,0.0,2567,2567,0,0.0,0
2025-11-03,鹿児島 管理栄養士 求人,https://jp.stanby.com/r_e1744c195adac2e7c67d348b6e7f39a4,6.0,7.0,-1.0,-14.29,2366,2567,-201,-7.83,0
2025-11-04,鹿児島 管理栄養士 求人,https://jp.stanby.com/r_e1744c195adac2e7c67d348b6e7f39a4,7.0,6.0,1.0,16.67,2567,2366,201,8.5,0
2025-11-05,鹿児島 管理栄養士 求人,https://jp.stanby.com/r_e1744c195adac2e7c67d348b6e7f39a4,6.0,7.0,-1.0,-14.29,2366,2567,-201,-7.83,0
2025-11-06,鹿児島 管理栄養士 求人,https://jp.stanby.com/r_e1744c195adac2e7c67d348b6e7f39a4,6.0,6.0,0.0,0.0,3391,2366,1025,43.32,0
2025-11-07,鹿児島 管理栄養士 求人,https://jp.stanby.com/r_e1744c195adac2e7c67d348b6e7f39a4,6.0,6.0,0.0,0.0,2366,3391,-1025,-30.23,0
2025-11-08,鹿児島 管理栄養士 求人,https://jp.stanby.com/r_e1744c195adac2e7c67d348b6e7f39a4,6.0,6.0,0.0,0.0,1947,2366,-419,-17.71,0
2025-11-02,鹿児島 英語 求人,https://jp.stanby.com/r_a2c88812c1023bdd45b21b0b53825645,2.0,5.0,-3.0,-60.0,1071,1648,-577,-35.01,0
2025-11-03,鹿児島 英語 求人,https://jp.stanby.com/r_a2c88812c1023bdd45b21b0b53825645,2.0,2.0,0.0,0.0,1071,1071,0,0.0,0
2025-11-04,鹿児島 英語 求人,https://jp.stanby.com/r_a2c88812c1023bdd45b21b0b53825645,5.0,2.0,3.0,150.0,1648,1071,577,53.87,0
2025-11-05,鹿児島 英語 求人,https://jp.stanby.com/r_a2c88812c1023bdd45b21b0b53825645,5.0,5.0,0.0,0.0,1668,1648,20,1.21,0
2025-11-06,鹿児島 英語 求人,https://jp.stanby.com/r_a2c88812c1023bdd45b21b0b53825645,4.0,5.0,-1.0,-20.0,1467,1668,-201,-12.05,0
2025-11-07,鹿児島 英語 求人,https://jp.stanby.com/r_a2c88812c1023bdd45b21b0b53825645,6.0,4.0,2.0,50.0,1869,1467,402,27.4,0
2025-11-08,鹿児島 英語 求人,https://jp.stanby.com/r_a2c88812c1023bdd45b21b0b53825645,2.0,6.0,-4.0,-66.67,1065,1869,-804,-43.02,0
2025-11-02,鹿児島 言語聴覚士 求人,https://jp.stanby.com/r_88af00d70183e3c694bc1500c501a4e4,12.0,11.0,1.0,9.09,3782,5691,-1909,-33.54,0
2025-11-03,鹿児島 言語聴覚士 求人,https://jp.stanby.com/r_88af00d70183e3c694bc1500c501a4e4,12.0,12.0,0.0,0.0,3782,3782,0,0.0,0
2025-11-04,鹿児島 言語聴覚士 求人,https://jp.stanby.com/r_88af00d70183e3c694bc1500c501a4e4,10.0,12.0,-2.0,-16.67,3360,3782,-422,-11.16,0
2025-11-05,鹿児島 言語聴覚士 求人,https://jp.stanby.com/r_88af00d70183e3c694bc1500c501a4e4,10.0,10.0,0.0,0.0,5553,3360,2193,65.27,0
2025-11-06,鹿児島 言語聴覚士 求人,https://jp.stanby.com/r_88af00d70183e3c694bc1500c501a4e4,10.0,10.0,0.0,0.0,2751,5553,-2802,-50.46,0
2025-11-07,鹿児島 言語聴覚士 求人,https://jp.stanby.com/r_88af00d70183e3c694bc1500c501a4e4,9.0,10.0,-1.0,-10.0,2570,2751,-181,-6.58,0
2025-11-08,鹿児島 言語聴覚士 求人,https://jp.stanby.com/r_88af00d70183e3c694bc1500c501a4e4,10.0,9.0,1.0,11.11,3432,2570,862,33.54,0
